epoch,bce,kld,loss,l1,RMSE
1,0.00288129124322783,0.0005936473996947154,0.003178114943982743,6.0618476912712875,
2,0.0013188325300085933,0.0005936642869441176,0.0016156646786932784,9.740800802641585,
3,0.0011967535412161431,0.0005815412516820866,0.0014875241652575891,11.567779211601469,
4,0.00110897041774337,0.0005862606336364646,0.0014021007340651616,13.099295713754097,
5,0.0010491266984667287,0.000584310436966831,0.0013412819179430254,14.470219711759198,
6,0.0010219056926010404,0.0005784788369280554,0.0013111451132369956,15.632304157021203,
7,0.0009976725250647378,0.0005768015743670131,0.001286073312062079,16.595835988709666,
8,0.000966179753412435,0.000575830505144145,0.0012540950066050583,17.35552906939216,
9,0.0009625118823030959,0.0005733253339232047,0.0012491745487062027,18.062985483263095,
10,0.0009333141370743974,0.0005712295116147777,0.0012189288959224848,18.730202087207136,
11,0.0008761872525519526,0.000565767468912388,0.001159070987256367,19.36155531096306,
12,0.0008677042070537932,0.0005660740960724969,0.0011507412530422242,19.940361600440703,
13,0.0008526021401945955,0.0005646043719956155,0.0011349043261303482,20.336758184534656,
14,0.0008509199199294533,0.0005646128085072536,0.0011332263280925499,20.592764868665096,
15,0.000847107550349714,0.0005663195965009362,0.0011302673497171735,20.720629856784715,
16,0.0008410345592937157,0.0005641036445020772,0.0011230863803036526,20.921051342604258,
17,0.000831814585323098,0.0005659020998811067,0.0011147656331537787,21.050723289375874,
18,0.0008316021571472002,0.0005669371439153945,0.0011150707269329697,21.035062566240715,
19,0.000818028296805672,0.0005672453773090802,0.0011016509867013136,21.157406585302944,
20,0.0008132283956602788,0.0005680027979809338,0.0010972297929132035,21.26714507145668,
21,0.0007867601935688191,0.0005684249569227033,0.0010709726725266116,21.389610628075182,
22,0.0007751973400235986,0.0005708483061683711,0.0010606214939765553,21.652367284811383,
23,0.0007761763918872819,0.0005690375585476362,0.001060695169485613,21.913749434546368,
24,0.0007705051610286016,0.0005715383877749366,0.001056274358204989,22.06927831035687,
25,0.0007690648148173907,0.000571167371151393,0.0010546484995863712,22.13768491358645,
26,0.0007647461603397627,0.0005711440798957576,0.0010503182019631285,22.238163588143614,
27,0.0007661848866652801,0.0005721446713244022,0.001052257224623519,22.256020177910322,
